block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5
nn1_beg[0]-ss1_end[0]-0,0,0,-100,0,-100,322,2100,322,2100,0,2000,0
nn1_beg[1]-ss1_end[1]-0,0,0,-101,0,-101,327,2101,327,2101,0,2000,0
nn1_beg[2]-ss1_end[2]-0,0,0,-102,0,-102,332,2102,332,2102,0,2000,0
nn1_beg[3]-ss1_end[3]-0,0,0,-103,0,-103,337,2103,337,2103,0,2000,0
nn1_beg[4]-ss1_end[4]-0,0,0,-104,0,-104,342,2104,342,2104,0,2000,0
nn1_beg[5]-ss1_end[5]-0,0,0,-105,0,-105,347,2105,347,2105,0,2000,0
nn1_beg[6]-ss1_end[6]-0,0,0,-106,0,-106,352,2106,352,2106,0,2000,0
nn1_beg[7]-ss1_end[7]-0,0,0,-107,0,-107,357,2107,357,2107,0,2000,0
nn1_beg[8]-ss1_end[8]-0,0,0,-108,0,-108,362,2108,362,2108,0,2000,0
nn1_beg[9]-ss1_end[9]-0,0,0,-109,0,-109,367,2109,367,2109,0,2000,0
nn1_beg[10]-ss1_end[10]-0,0,0,-110,0,-110,372,2110,372,2110,0,2000,0
nn1_beg[11]-ss1_end[11]-0,0,0,-111,0,-111,377,2111,377,2111,0,2000,0
nn1_beg[12]-ss1_end[12]-0,0,0,-112,0,-112,382,2112,382,2112,0,2000,0
nn1_beg[13]-ss1_end[13]-0,0,0,-113,0,-113,387,2113,387,2113,0,2000,0
nn1_beg[14]-ss1_end[14]-0,0,0,-114,0,-114,392,2114,392,2114,0,2000,0
nn1_beg[15]-ss1_end[15]-0,0,0,-115,0,-115,397,2115,397,2115,0,2000,0
ss1_beg[0]-nn1_end[0]-0,0,0,100,0,100,-322,-2100,-322,-2100,0,-2000,0
ss1_beg[1]-nn1_end[1]-0,0,0,101,0,101,-327,-2101,-327,-2101,0,-2000,0
ss1_beg[2]-nn1_end[2]-0,0,0,102,0,102,-332,-2102,-332,-2102,0,-2000,0
ss1_beg[3]-nn1_end[3]-0,0,0,103,0,103,-337,-2103,-337,-2103,0,-2000,0
ss1_beg[4]-nn1_end[4]-0,0,0,104,0,104,-342,-2104,-342,-2104,0,-2000,0
ss1_beg[5]-nn1_end[5]-0,0,0,105,0,105,-347,-2105,-347,-2105,0,-2000,0
ss1_beg[6]-nn1_end[6]-0,0,0,106,0,106,-352,-2106,-352,-2106,0,-2000,0
ss1_beg[7]-nn1_end[7]-0,0,0,107,0,107,-357,-2107,-357,-2107,0,-2000,0
ss1_beg[8]-nn1_end[8]-0,0,0,108,0,108,-362,-2108,-362,-2108,0,-2000,0
ss1_beg[9]-nn1_end[9]-0,0,0,109,0,109,-367,-2109,-367,-2109,0,-2000,0
ss1_beg[10]-nn1_end[10]-0,0,0,110,0,110,-372,-2110,-372,-2110,0,-2000,0
ss1_beg[11]-nn1_end[11]-0,0,0,111,0,111,-377,-2111,-377,-2111,0,-2000,0
ss1_beg[12]-nn1_end[12]-0,0,0,112,0,112,-382,-2112,-382,-2112,0,-2000,0
ss1_beg[13]-nn1_end[13]-0,0,0,113,0,113,-387,-2113,-387,-2113,0,-2000,0
ss1_beg[14]-nn1_end[14]-0,0,0,114,0,114,-392,-2114,-392,-2114,0,-2000,0
ss1_beg[15]-nn1_end[15]-0,0,0,115,0,115,-397,-2115,-397,-2115,0,-2000,0
