block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5
ee1_beg[0]-ww1_end[0]-0,0,0,0,-100,322,-100,322,2100,0,2100,0,2000
ee1_beg[1]-ww1_end[1]-0,0,0,0,-101,327,-101,327,2101,0,2101,0,2000
ee1_beg[2]-ww1_end[2]-0,0,0,0,-102,332,-102,332,2102,0,2102,0,2000
ee1_beg[3]-ww1_end[3]-0,0,0,0,-103,337,-103,337,2103,0,2103,0,2000
ee1_beg[4]-ww1_end[4]-0,0,0,0,-104,342,-104,342,2104,0,2104,0,2000
ee1_beg[5]-ww1_end[5]-0,0,0,0,-105,347,-105,347,2105,0,2105,0,2000
ee1_beg[6]-ww1_end[6]-0,0,0,0,-106,352,-106,352,2106,0,2106,0,2000
ee1_beg[7]-ww1_end[7]-0,0,0,0,-107,357,-107,357,2107,0,2107,0,2000
ee1_beg[8]-ww1_end[8]-0,0,0,0,-108,362,-108,362,2108,0,2108,0,2000
ee1_beg[9]-ww1_end[9]-0,0,0,0,-109,367,-109,367,2109,0,2109,0,2000
ee1_beg[10]-ww1_end[10]-0,0,0,0,-110,372,-110,372,2110,0,2110,0,2000
ee1_beg[11]-ww1_end[11]-0,0,0,0,-111,377,-111,377,2111,0,2111,0,2000
ee1_beg[12]-ww1_end[12]-0,0,0,0,-112,382,-112,382,2112,0,2112,0,2000
ee1_beg[13]-ww1_end[13]-0,0,0,0,-113,387,-113,387,2113,0,2113,0,2000
ee1_beg[14]-ww1_end[14]-0,0,0,0,-114,392,-114,392,2114,0,2114,0,2000
ee1_beg[15]-ww1_end[15]-0,0,0,0,-115,397,-115,397,2115,0,2115,0,2000
ww1_beg[0]-ee1_end[0]-0,0,0,0,100,-322,100,-322,-2100,0,-2100,0,-2000
ww1_beg[1]-ee1_end[1]-0,0,0,0,101,-327,101,-327,-2101,0,-2101,0,-2000
ww1_beg[2]-ee1_end[2]-0,0,0,0,102,-332,102,-332,-2102,0,-2102,0,-2000
ww1_beg[3]-ee1_end[3]-0,0,0,0,103,-337,103,-337,-2103,0,-2103,0,-2000
ww1_beg[4]-ee1_end[4]-0,0,0,0,104,-342,104,-342,-2104,0,-2104,0,-2000
ww1_beg[5]-ee1_end[5]-0,0,0,0,105,-347,105,-347,-2105,0,-2105,0,-2000
ww1_beg[6]-ee1_end[6]-0,0,0,0,106,-352,106,-352,-2106,0,-2106,0,-2000
ww1_beg[7]-ee1_end[7]-0,0,0,0,107,-357,107,-357,-2107,0,-2107,0,-2000
ww1_beg[8]-ee1_end[8]-0,0,0,0,108,-362,108,-362,-2108,0,-2108,0,-2000
ww1_beg[9]-ee1_end[9]-0,0,0,0,109,-367,109,-367,-2109,0,-2109,0,-2000
ww1_beg[10]-ee1_end[10]-0,0,0,0,110,-372,110,-372,-2110,0,-2110,0,-2000
ww1_beg[11]-ee1_end[11]-0,0,0,0,111,-377,111,-377,-2111,0,-2111,0,-2000
ww1_beg[12]-ee1_end[12]-0,0,0,0,112,-382,112,-382,-2112,0,-2112,0,-2000
ww1_beg[13]-ee1_end[13]-0,0,0,0,113,-387,113,-387,-2113,0,-2113,0,-2000
ww1_beg[14]-ee1_end[14]-0,0,0,0,114,-392,114,-392,-2114,0,-2114,0,-2000
ww1_beg[15]-ee1_end[15]-0,0,0,0,115,-397,115,-397,-2115,0,-2115,0,-2000
