block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11
EE4_BEG_00-WW4_END_00-0,0,0,0,-132,458,-132,458,2132,-874,2132,-874,2140,-3842,2140,-3842,2148,-12810,2148,-12810,2156,-15000,2156,-15000,2000
EE4_BEG_01-WW4_END_01-0,0,0,0,-133,463,-133,463,2133,-866,2133,-866,2141,-3834,2141,-3834,2149,-12802,2149,-12802,2157,-15000,2157,-15000,2000
EE4_BEG_02-WW4_END_02-0,0,0,0,-134,468,-134,468,2134,-858,2134,-858,2142,-3826,2142,-3826,2150,-12794,2150,-12794,2158,-15000,2158,-15000,2000
EE4_BEG_03-WW4_END_03-0,0,0,0,-135,473,-135,473,2135,-850,2135,-850,2143,-3818,2143,-3818,2151,-12786,2151,-12786,2159,-15000,2159,-15000,2000
EE4_BEG_04-WW4_END_04-0,0,0,0,-136,478,-136,478,2136,-842,2136,-842,2144,-3810,2144,-3810,2152,-12778,2152,-12778,2160,-15000,2160,-15000,2000
EE4_BEG_05-WW4_END_05-0,0,0,0,-137,483,-137,483,2137,-834,2137,-834,2145,-3802,2145,-3802,2153,-12770,2153,-12770,2161,-15000,2161,-15000,2000
EE4_BEG_06-WW4_END_06-0,0,0,0,-138,488,-138,488,2138,-826,2138,-826,2146,-3794,2146,-3794,2154,-12762,2154,-12762,2162,-15000,2162,-15000,2000
EE4_BEG_07-WW4_END_07-0,0,0,0,-139,493,-139,493,2139,-818,2139,-818,2147,-3786,2147,-3786,2155,-12754,2155,-12754,2163,-15000,2163,-15000,2000
EE4_BEG_00-WW4_END_00-1,0,0,0,-132,2126,-132,2126,-140,3466,-140,3466,2140,2158,2140,2158,2148,-810,2148,-810,2156,-9000,2156,-9000,2000
EE4_BEG_01-WW4_END_01-1,0,0,0,-133,2126,-133,2126,-141,3471,-141,3471,2141,2166,2141,2166,2149,-802,2149,-802,2157,-9000,2157,-9000,2000
EE4_BEG_02-WW4_END_02-1,0,0,0,-134,2126,-134,2126,-142,3476,-142,3476,2142,2174,2142,2174,2150,-794,2150,-794,2158,-9000,2158,-9000,2000
